NACA 2414
  1.000000  0.001470
  0.997390  0.002100
  0.989290  0.003960
  0.975870  0.007000
  0.957290  0.011120
  0.933720  0.016200
  0.905420  0.022070
  0.872670  0.028570
  0.835820  0.035520
  0.795270  0.042740
  0.751430  0.050040
  0.704800  0.057230
  0.655860  0.064120
  0.605150  0.070530
  0.553240  0.076290
  0.500690  0.081200
  0.448080  0.085120
  0.395980  0.087870
  0.344540  0.089130
  0.294820  0.088660
  0.247400  0.086450
  0.202850  0.082550
  0.161690  0.077070
  0.124400  0.070140
  0.091410  0.061980
  0.063100  0.052810
  0.039770  0.042890
  0.021650  0.032450
  0.008920  0.021710
  0.001690  0.010850
  0.000000  0.000000
  0.003790 -0.010310
  0.012930 -0.019560
  0.027300 -0.027700
  0.046690 -0.034710
  0.070870 -0.040540
  0.099570 -0.045160
  0.132460 -0.048580
  0.169180 -0.050820
  0.209370 -0.051950
  0.252600 -0.052080
  0.298440 -0.051330
  0.346440 -0.049870
  0.396110 -0.047870
  0.447390 -0.045370
  0.499310 -0.042320
  0.551290 -0.038860
  0.602760 -0.035160
  0.653160 -0.031320
  0.701940 -0.027450
  0.748570 -0.023650
  0.792520 -0.019980
  0.833310 -0.016500
  0.870480 -0.013280
  0.903600 -0.010350
  0.932300 -0.007760
  0.956260 -0.005570
  0.975180 -0.003810
  0.988860 -0.002520
  0.997130 -0.001730
  1.000000 -0.001470
